run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s1.0_ecm0_top_fitness_vc200_sl10_03,1.0,0,top_fitness,200,10,1859246334,500,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_02,1.0,0,top_fitness,200,10,31739773,500,0,,{},{},"{""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,500,0,,{},{},"{""1"": 10, ""4"": 10, ""2"": 10, ""0"": 10, ""3"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,500,1,,"{""0"": 330}","{""0"": ""valley""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10, ""4"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_04,1.0,0,top_fitness,200,10,1185278457,500,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_05,1.0,0,top_fitness,200,10,2568755484,500,0,,{},{},"{""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_06,1.0,0,top_fitness,200,10,393423154,500,1,,"{""0"": 387}","{""0"": ""in_situ""}","{""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_01,1.0,1,top_fitness,200,10,2054898212,500,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_02,1.0,1,top_fitness,200,10,2630884489,500,0,,{},{},"{""3"": 10, ""0"": 10, ""2"": 10, ""1"": 10, ""4"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_03,1.0,1,top_fitness,200,10,3347769623,500,1,,"{""0"": 316}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_07,1.0,0,top_fitness,200,10,2192311881,500,0,,{},{},"{""3"": 10, ""1"": 10, ""2"": 10, ""0"": 10, ""4"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_04,1.0,1,top_fitness,200,10,791103370,500,0,,{},{},"{""3"": 10, ""4"": 10, ""2"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_08,1.0,0,top_fitness,200,10,346485725,500,0,,{},{},"{""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,500,1,,"{""0"": 206}","{""0"": ""valley""}","{""0"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_09,1.0,0,top_fitness,200,10,1103451904,500,0,,{},{},"{""3"": 10, ""0"": 10, ""2"": 10, ""4"": 10, ""1"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_06,1.0,1,top_fitness,200,10,2067144928,500,1,,"{""0"": 382}","{""0"": ""valley""}","{""3"": 10, ""0"": 10, ""2"": 10, ""1"": 10, ""4"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_10,1.0,0,top_fitness,200,10,827647212,500,1,,"{""0"": 310}","{""0"": ""valley""}","{""1"": 10, ""4"": 10, ""0"": 10, ""2"": 10, ""3"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_05,1.0,1,top_fitness,200,10,3803136540,500,1,,"{""0"": 248}","{""0"": ""in_situ""}","{""3"": 10, ""2"": 10, ""0"": 10, ""1"": 10, ""4"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_11,1.0,0,top_fitness,200,10,3838297667,500,1,,"{""0"": 368}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10, ""0"": 10}",,
