run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s0.5_ecm0_top_fitness_vc200_sl10_01,0.5,0,top_fitness,200,10,519564556,1000,1,,"{""4"": 737}","{""4"": ""valley""}","{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",250,0
s0.5_ecm0_top_fitness_vc200_sl10_00,0.5,0,top_fitness,200,10,1654239700,1000,2,,"{""0"": 470, ""4"": 731}","{""0"": ""in_situ"", ""4"": ""in_situ""}","{""3"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",250,0
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,1000,1,,"{""0"": 559}","{""0"": ""valley""}","{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10}",250,0
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,1000,1,,"{""3"": 946}","{""3"": ""valley""}","{""0"": 10, ""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",250,0
s0.5_ecm0_top_fitness_vc200_sl10_02,0.5,0,top_fitness,200,10,3363640312,1000,0,,{},{},"{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10}",250,0
s1.0_ecm0_top_fitness_vc200_sl10_02,1.0,0,top_fitness,200,10,31739773,1000,1,,"{""4"": 752}","{""4"": ""in_situ""}","{""3"": 10, ""4"": 10, ""1"": 10, ""2"": 10, ""0"": 10}",250,1
s0.5_ecm1_top_fitness_vc200_sl10_01,0.5,1,top_fitness,200,10,3999235960,1000,2,,"{""4"": 503, ""1"": 731}","{""4"": ""in_situ"", ""1"": ""in_situ""}","{""3"": 10, ""4"": 10, ""1"": 10, ""2"": 10, ""0"": 10}",250,1
s0.5_ecm1_top_fitness_vc200_sl10_00,0.5,1,top_fitness,200,10,2802372092,1000,2,,"{""3"": 451, ""0"": 971}","{""3"": ""in_situ"", ""0"": ""in_situ""}","{""3"": 10, ""1"": 10, ""0"": 10, ""2"": 10, ""4"": 10}",250,1
s0.5_ecm0_top_fitness_vc200_sl10_03,0.5,0,top_fitness,200,10,3746591540,1000,1,,"{""2"": 805}","{""2"": ""valley""}","{""3"": 10, ""4"": 10, ""2"": 10, ""1"": 10, ""0"": 10}",250,1
s0.5_ecm1_top_fitness_vc200_sl10_02,0.5,1,top_fitness,200,10,456617161,1000,2,,"{""2"": 687, ""4"": 691}","{""2"": ""in_situ"", ""4"": ""in_situ""}","{""0"": 10, ""3"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",250,1
s1.0_ecm0_top_fitness_vc200_sl10_03,1.0,0,top_fitness,200,10,1859246334,1000,1,,"{""4"": 924}","{""4"": ""valley""}","{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10, ""4"": 10}",250,0
s0.5_ecm1_top_fitness_vc200_sl10_03,0.5,1,top_fitness,200,10,3795121732,1000,1,,"{""1"": 922}","{""1"": ""valley""}","{""3"": 10, ""0"": 10, ""1"": 10, ""2"": 10}",250,0
s0.5_ecm0_top_fitness_vc200_sl10_04,0.5,0,top_fitness,200,10,597154218,1000,1,,"{""4"": 806}","{""4"": ""valley""}","{""3"": 10, ""1"": 10, ""0"": 10, ""4"": 10, ""2"": 10}",250,1
s1.0_ecm0_top_fitness_vc200_sl10_04,1.0,0,top_fitness,200,10,1185278457,1000,0,,{},{},"{""3"": 10, ""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10}",250,0
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,1000,1,,"{""2"": 857}","{""2"": ""in_situ""}","{""3"": 10, ""4"": 10, ""1"": 10, ""0"": 10, ""2"": 10}",250,0
s1.0_ecm1_top_fitness_vc200_sl10_01,1.0,1,top_fitness,200,10,2054898212,1000,3,,"{""4"": 593, ""1"": 838, ""2"": 916}","{""4"": ""in_situ"", ""1"": ""in_situ"", ""2"": ""in_situ""}","{""0"": 10, ""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",250,1
s0.5_ecm0_top_fitness_vc200_sl10_05,0.5,0,top_fitness,200,10,2840003069,1000,2,,"{""1"": 773, ""2"": 938}","{""1"": ""valley"", ""2"": ""in_situ""}","{""0"": 10, ""3"": 10, ""1"": 10, ""4"": 10, ""2"": 10}",250,1
