run_id,mutation_scalar,use_ecm,valley_reaper,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.25_ecm0_top_fitness_00,0.25,0,top_fitness,584495087,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_00,0.25,0,random,3969392277,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_00,0.5,0,top_fitness,3851317497,500,1,,"{""2"": 176}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_00,0.5,0,random,3826283493,500,1,,"{""3"": 436}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_00,0.25,1,top_fitness,3591565453,500,2,,"{""2"": 156, ""1"": 441}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_00,1.0,0,top_fitness,4256195642,500,0,,{},{},"{""4"": 10, ""0"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm0_random_00,1.0,0,random,203603782,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_00,0.5,1,top_fitness,749261162,500,1,,"{""2"": 201}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_00,0.25,1,random,2420825926,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_00,1.5,0,top_fitness,1208563664,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_random_00,1.5,0,random,3529480542,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_01,0.25,0,top_fitness,101818272,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_top_fitness_01,0.25,1,top_fitness,4159935156,500,2,,"{""2"": 148, ""1"": 463}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_01,0.25,0,random,3238721419,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_00,1.0,1,top_fitness,733281489,500,1,,"{""1"": 138}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10}"
s0.25_ecm1_random_01,0.25,1,random,1681399867,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_00,0.5,1,random,4159448851,500,2,,"{""1"": 287, ""2"": 428}","{""1"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_01,0.5,1,top_fitness,162654585,500,2,,"{""2"": 190, ""1"": 466}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""1"": 10, ""4"": 10, ""3"": 10, ""0"": 10}"
s0.5_ecm0_top_fitness_01,0.5,0,top_fitness,3369977276,500,1,,"{""2"": 175}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_random_01,0.5,0,random,1499363658,500,1,,"{""2"": 207}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_01,1.0,0,top_fitness,1472049452,500,1,,"{""2"": 264}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_01,1.0,0,random,3854023837,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_00,1.5,1,top_fitness,2933065388,500,1,,"{""1"": 293}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_01,0.5,1,random,1785652720,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_01,1.0,1,top_fitness,3738164035,500,2,,"{""2"": 250, ""1"": 443}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_01,1.5,0,top_fitness,3549527269,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""4"": 10, ""1"": 10}"
s1.5_ecm0_random_01,1.5,0,random,450999179,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_02,0.25,1,top_fitness,835430032,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_02,0.25,0,top_fitness,917737772,500,1,,"{""2"": 151}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_02,0.25,0,random,649023305,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_random_00,1.0,1,random,490424343,500,2,,"{""2"": 430, ""1"": 495}","{""2"": ""valley"", ""1"": ""valley""}","{""0"": 10, ""4"": 10, ""2"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_02,0.25,1,random,3493449268,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_02,0.5,1,top_fitness,2002127053,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_02,0.5,0,top_fitness,1574778014,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_random_02,0.5,0,random,1870228522,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_01,1.5,1,top_fitness,3818730872,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_02,1.0,0,top_fitness,2041807518,500,1,,"{""2"": 255}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_02,1.0,0,random,3877277363,500,0,,{},{},"{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s0.5_ecm1_random_02,0.5,1,random,1174589121,500,2,,"{""1"": 410, ""2"": 491}","{""1"": ""valley"", ""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_top_fitness_02,1.5,0,top_fitness,1457954092,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_02,1.0,1,top_fitness,863628707,500,1,,"{""1"": 124}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_random_00,1.5,1,random,2090092863,500,0,,{},{},"{""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10, ""3"": 10}"
s1.5_ecm0_random_02,1.5,0,random,1213173760,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_random_01,1.0,1,random,3075996831,500,1,,"{""1"": 172}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10}"
s0.25_ecm1_top_fitness_03,0.25,1,top_fitness,233755832,500,1,,"{""2"": 341}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_03,0.25,0,top_fitness,1211109482,500,1,,"{""2"": 193}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_03,0.25,0,random,2805380827,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_03,0.5,0,top_fitness,4088248260,500,1,,"{""2"": 146}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_03,0.5,1,top_fitness,3809168667,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_03,0.25,1,random,4056521758,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_03,0.5,0,random,3069506598,500,2,,"{""3"": 486, ""4"": 488}","{""3"": ""valley"", ""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_03,1.0,0,top_fitness,2644302505,500,1,,"{""2"": 238}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_02,1.5,1,top_fitness,206409447,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_03,1.0,0,random,2604738009,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_03,0.5,1,random,2564102399,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_03,1.5,0,top_fitness,332138190,500,0,,{},{},"{""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10, ""3"": 10}"
s1.5_ecm1_random_01,1.5,1,random,3364790632,500,1,,"{""1"": 392}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_02,1.0,1,random,3863822471,500,1,,"{""1"": 297}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_03,1.5,0,random,4032272286,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_03,1.0,1,top_fitness,340235807,500,1,,"{""1"": 159}","{""1"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10, ""4"": 10}"
s0.25_ecm0_top_fitness_04,0.25,0,top_fitness,984971579,500,1,,"{""2"": 196}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_random_04,0.25,0,random,3651742644,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_top_fitness_04,0.25,1,top_fitness,2791076815,500,1,,"{""2"": 176}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_04,0.5,0,top_fitness,3061068091,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.25_ecm1_random_04,0.25,1,random,3404970721,500,1,,"{""2"": 426}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_04,0.5,0,random,1859613048,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_04,0.5,1,top_fitness,2906616948,500,1,,"{""3"": 242}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_04,1.0,0,top_fitness,2709473617,500,1,,"{""2"": 214}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_03,1.5,1,top_fitness,206300930,500,1,,"{""1"": 141}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_04,1.0,0,random,3605269287,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_04,1.0,1,top_fitness,4170327692,500,1,,"{""2"": 234}","{""2"": ""valley""}","{""1"": 10, ""3"": 10, ""4"": 10, ""2"": 10, ""0"": 10}"
s0.5_ecm1_random_04,0.5,1,random,3594470258,500,1,,"{""2"": 365}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_04,1.5,0,top_fitness,4108050226,500,1,,"{""1"": 342}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""1"": 10, ""4"": 10, ""3"": 10}"
s1.0_ecm1_random_03,1.0,1,random,3674196982,500,2,,"{""1"": 173, ""3"": 371}","{""1"": ""valley"", ""3"": ""valley""}","{""2"": 10, ""4"": 10, ""1"": 10, ""3"": 10, ""0"": 10}"
s1.5_ecm0_random_04,1.5,0,random,4066981671,500,0,,{},{},"{""2"": 10, ""4"": 10, ""1"": 10, ""0"": 10, ""3"": 10}"
s1.5_ecm1_random_02,1.5,1,random,2870146736,500,1,,"{""1"": 483}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_05,0.25,1,top_fitness,3461429681,500,1,,"{""2"": 166}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_top_fitness_05,0.25,0,top_fitness,2315984987,500,1,,"{""2"": 334}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_05,0.25,0,random,1573747794,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_05,0.5,0,top_fitness,2999799091,500,1,,"{""2"": 145}","{""2"": ""valley""}","{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_05,0.5,1,top_fitness,3552256543,500,2,,"{""2"": 172, ""1"": 494}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_05,0.25,1,random,2942440210,500,1,,"{""1"": 326}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_05,0.5,0,random,1855314955,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_05,1.0,0,top_fitness,1052987444,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}"
s1.5_ecm1_top_fitness_04,1.5,1,top_fitness,824483939,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_random_05,1.0,0,random,966854577,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_05,0.5,1,random,1560928433,500,1,,"{""1"": 349}","{""1"": ""valley""}","{""0"": 10, ""4"": 10, ""2"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_05,1.0,1,top_fitness,4139803800,500,1,,"{""1"": 187}","{""1"": ""valley""}","{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10, ""4"": 10}"
s1.5_ecm0_top_fitness_05,1.5,0,top_fitness,263517096,500,0,,{},{},"{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm0_random_05,1.5,0,random,3717997,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}"
