run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.25_ecm0_top_fitness_vc200_00,0.25,0,top_fitness,200,100906858,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_random_vc200_00,0.25,0,random,200,3167944644,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_00,0.5,0,top_fitness,200,2664032210,500,1,,"{""2"": 169}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_00,0.5,0,random,200,3086093321,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_vc200_00,0.25,1,top_fitness,200,3092321545,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_00,1.0,0,top_fitness,200,2112227751,500,1,,"{""3"": 237}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_vc200_00,1.0,0,random,200,2648033333,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_00,0.5,1,top_fitness,200,474412586,500,2,,"{""2"": 154, ""1"": 486}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_vc200_00,1.5,0,top_fitness,200,726639360,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_vc200_00,0.25,1,random,200,2803556601,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_vc200_00,1.5,0,random,200,1797389309,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_vc200_01,0.25,0,top_fitness,200,2912607345,500,1,,"{""2"": 190}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_top_fitness_vc200_01,0.25,1,top_fitness,200,336537025,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm0_random_vc200_01,0.25,0,random,200,3589776529,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_00,1.0,1,top_fitness,200,3703731537,500,2,,"{""1"": 153, ""4"": 484}","{""1"": ""in_situ"", ""4"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_vc200_01,0.25,1,random,200,732402950,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_vc200_00,0.5,1,random,200,3399197960,500,1,,"{""4"": 434}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_01,0.5,0,top_fitness,200,413820638,500,1,,"{""2"": 242}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_01,0.5,1,top_fitness,200,3076142795,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_random_vc200_01,0.5,0,random,200,2259773869,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_01,1.0,0,top_fitness,200,3085126100,500,1,,"{""2"": 237}","{""2"": ""valley""}","{""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10, ""1"": 10}"
s1.0_ecm0_random_vc200_01,1.0,0,random,200,3345028494,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_vc200_00,1.5,1,top_fitness,200,3019019569,500,1,,"{""1"": 196}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
