run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s0.25_ecm0_top_fitness_vc200_sl10_00,0.25,0,top_fitness,200,10,53556001,500,1,,"{""2"": 169}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.25_ecm0_random_vc200_sl10_00,0.25,0,random,200,10,2686840220,500,1,,"{""2"": 326}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.5_ecm0_top_fitness_vc200_sl10_00,0.5,0,top_fitness,200,10,1654239700,500,1,,"{""3"": 378}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.5_ecm0_random_vc200_sl10_00,0.5,0,random,200,10,1528634979,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""4"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}",,
s0.25_ecm1_top_fitness_vc200_sl10_00,0.25,1,top_fitness,200,10,2235724503,500,1,,"{""2"": 148}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm0_random_vc200_sl10_00,1.0,0,random,200,10,2452765965,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}",,
s0.5_ecm1_top_fitness_vc200_sl10_00,0.5,1,top_fitness,200,10,2802372092,500,2,,"{""2"": 171, ""1"": 409}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.5_ecm0_top_fitness_vc200_sl10_00,1.5,0,top_fitness,200,10,4071983269,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.25_ecm1_random_vc200_sl10_00,0.25,1,random,200,10,840487204,500,1,,"{""1"": 438}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.5_ecm0_random_vc200_sl10_00,1.5,0,random,200,10,3634950118,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s0.25_ecm0_top_fitness_vc200_sl10_01,0.25,0,top_fitness,200,10,4052751611,500,1,,"{""2"": 282}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s0.25_ecm1_top_fitness_vc200_sl10_01,0.25,1,top_fitness,200,10,3144098964,500,1,,"{""2"": 169}","{""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,500,1,,"{""4"": 422}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.25_ecm0_random_vc200_sl10_01,0.25,0,random,200,10,577538180,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s0.5_ecm0_top_fitness_vc200_sl10_01,0.5,0,top_fitness,200,10,519564556,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.25_ecm1_random_vc200_sl10_01,0.25,1,random,200,10,599360307,500,1,,"{""1"": 456}","{""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.5_ecm1_random_vc200_sl10_00,0.5,1,random,200,10,670397621,500,3,,"{""0"": 325, ""1"": 330, ""2"": 361}","{""0"": ""valley"", ""1"": ""in_situ"", ""2"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s0.5_ecm0_random_vc200_sl10_01,0.5,0,random,200,10,408381730,500,1,,"{""2"": 328}","{""2"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}",,
s0.5_ecm1_top_fitness_vc200_sl10_01,0.5,1,top_fitness,200,10,3999235960,500,1,,"{""2"": 162}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,500,1,,"{""1"": 372}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
