run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.5_ecm0_top_fitness_vc0_00,0.5,0,top_fitness,0,1834507536,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc50_00,0.5,0,top_fitness,50,300669415,500,1,,"{""2"": 182}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_00,0.5,0,top_fitness,200,2664032210,500,1,,"{""2"": 169}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc0_00,0.5,1,top_fitness,0,3712493081,500,1,,"{""2"": 374}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc50_00,0.5,1,top_fitness,50,2680660526,500,1,,"{""0"": 449}","{""0"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc0_00,1.0,0,top_fitness,0,3154042008,500,0,,{},{},"{""2"": 10, ""4"": 10, ""3"": 10, ""0"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc0_00,1.0,1,top_fitness,0,3005237963,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc500_00,0.5,0,top_fitness,500,1341721481,500,2,,"{""2"": 165, ""4"": 490}","{""2"": ""valley"", ""4"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc50_00,1.0,0,top_fitness,50,3184546438,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_00,0.5,1,top_fitness,200,474412586,500,2,,"{""2"": 154, ""1"": 486}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc0_01,0.5,1,top_fitness,0,3612905705,500,1,,"{""2"": 491}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_00,1.0,0,top_fitness,200,2112227751,500,1,,"{""3"": 237}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_top_fitness_vc50_00,1.0,1,top_fitness,50,2097623285,500,2,,"{""2"": 374, ""1"": 431}","{""2"": ""valley"", ""1"": ""valley""}","{""2"": 10, ""1"": 10, ""4"": 10, ""0"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc0_01,0.5,0,top_fitness,0,3147824229,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc50_01,0.5,0,top_fitness,50,1656154381,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc50_01,0.5,1,top_fitness,50,259567424,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc500_00,1.0,0,top_fitness,500,2417098992,500,1,,"{""2"": 250}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_01,0.5,0,top_fitness,200,413820638,500,1,,"{""2"": 242}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_01,0.5,1,top_fitness,200,3076142795,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc500_00,0.5,1,top_fitness,500,4229584928,500,1,,"{""1"": 226}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc0_01,1.0,1,top_fitness,0,3555567631,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
