run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.5_ecm0_top_fitness_vc200_sl5_00,0.5,0,top_fitness,200,5,64518568,500,1,,"{""2"": 298}","{""2"": ""in_situ""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_00,0.5,0,top_fitness,200,10,1654239700,500,1,,"{""3"": 378}","{""3"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_00,0.5,0,top_fitness,200,20,3394906823,500,1,,"{""3"": 290}","{""3"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s0.5_ecm0_top_fitness_vc200_sl40_00,0.5,0,top_fitness,200,40,3547744804,500,3,,"{""2"": 148, ""4"": 445, ""3"": 486}","{""2"": ""valley"", ""4"": ""in_situ"", ""3"": ""in_situ""}","{""2"": 40, ""3"": 40, ""4"": 40, ""1"": 40, ""0"": 40}"
s0.5_ecm1_top_fitness_vc200_sl5_00,0.5,1,top_fitness,200,5,1559477669,500,1,,"{""2"": 160}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm1_top_fitness_vc200_sl10_00,0.5,1,top_fitness,200,10,2802372092,500,2,,"{""2"": 171, ""1"": 409}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl20_00,0.5,1,top_fitness,200,20,3110057880,500,1,,"{""2"": 149}","{""2"": ""valley""}","{""2"": 20, ""1"": 20, ""3"": 20, ""0"": 20, ""4"": 20}"
s1.0_ecm0_top_fitness_vc200_sl5_00,1.0,0,top_fitness,200,5,901867235,500,0,,{},{},"{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl40_00,0.5,1,top_fitness,200,40,1135220161,500,2,,"{""1"": 145, ""3"": 331}","{""1"": ""valley"", ""3"": ""in_situ""}","{""2"": 40, ""0"": 40, ""4"": 40, ""1"": 40, ""3"": 40}"
s1.0_ecm0_top_fitness_vc200_sl20_00,1.0,0,top_fitness,200,20,3568092786,500,1,,"{""1"": 201}","{""1"": ""in_situ""}","{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
s1.0_ecm1_top_fitness_vc200_sl5_00,1.0,1,top_fitness,200,5,1819116635,500,0,,{},{},"{""2"": 5, ""1"": 5, ""3"": 5, ""0"": 5, ""4"": 5}"
s1.0_ecm0_top_fitness_vc200_sl40_00,1.0,0,top_fitness,200,40,139103078,500,2,,"{""2"": 351, ""1"": 497}","{""2"": ""in_situ"", ""1"": ""in_situ""}","{""2"": 40, ""4"": 40, ""3"": 40, ""1"": 40, ""0"": 40}"
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,500,1,,"{""4"": 422}","{""4"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_sl5_01,0.5,1,top_fitness,200,5,3088872524,500,1,,"{""2"": 195}","{""2"": ""valley""}","{""2"": 5, ""4"": 5, ""0"": 5, ""1"": 5, ""3"": 5}"
s0.5_ecm0_top_fitness_vc200_sl5_01,0.5,0,top_fitness,200,5,2916537981,500,0,,{},{},"{""2"": 5, ""0"": 5, ""4"": 5, ""3"": 5, ""1"": 5}"
s0.5_ecm0_top_fitness_vc200_sl10_01,0.5,0,top_fitness,200,10,519564556,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_sl20_01,0.5,0,top_fitness,200,20,4278501110,500,0,,{},{},"{""2"": 20, ""0"": 20, ""4"": 20, ""3"": 20, ""1"": 20}"
