run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,slots_per_peak,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution,extinction_gen,pre_extinction_peaks_colonized
s1.0_ecm0_top_fitness_vc200_sl10_01,1.0,0,top_fitness,200,10,1452574005,500,1,,"{""1"": 499}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_00,1.0,0,top_fitness,200,10,2798237039,500,0,,{},{},"{""2"": 10, ""0"": 10, ""1"": 10, ""3"": 10}",,
s1.0_ecm0_random_vc200_sl10_00,1.0,0,random,200,10,2452765965,500,1,,"{""1"": 466}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_01,1.0,0,random,200,10,3349413387,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_02,1.0,0,top_fitness,200,10,31739773,500,1,,"{""2"": 250}","{""2"": ""valley""}","{""2"": 10, ""3"": 10, ""0"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_02,1.0,0,random,200,10,3749517255,500,0,,{},{},"{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_00,1.0,1,top_fitness,200,10,1539021094,500,1,,"{""2"": 179}","{""2"": ""valley""}","{""2"": 10, ""1"": 10, ""3"": 10, ""0"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_01,1.0,1,top_fitness,200,10,2054898212,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
s1.0_ecm0_top_fitness_vc200_sl10_03,1.0,0,top_fitness,200,10,1859246334,500,0,,{},{},"{""2"": 10, ""0"": 10, ""3"": 10, ""1"": 10}",,
s1.0_ecm0_random_vc200_sl10_03,1.0,0,random,200,10,4292668816,500,0,,{},{},"{""1"": 10, ""3"": 10, ""0"": 10, ""2"": 10}",,
s1.0_ecm1_top_fitness_vc200_sl10_03,1.0,1,top_fitness,200,10,3347769623,500,0,,{},{},"{""2"": 10, ""3"": 10, ""1"": 10, ""0"": 10}",,
