run_id,ext_period,env_mut,rep,seed,generations_run,final_mean_mut,final_mean_ecm,extinctions
ext0_env0.0_01,0,0.0,1,1725156786,1000,0.2268,0.3664,[]
ext0_env0.0_00,0,0.0,0,677064715,1000,0.1606,0.8047,[]
ext200_env0.0_01,200,0.0,1,2064199254,1000,0.3396,0.1979,"[200, 400, 600, 800]"
ext0_env0.75_00,0,0.75,0,2983969443,1000,0.1074,0.577,[]
ext200_env0.0_00,200,0.0,0,4157384086,1000,0.6295,0.5459,"[200, 400, 600, 800]"
ext0_env0.0_02,0,0.0,2,3831093282,1000,0.0698,0.1255,[]
ext0_env0.75_01,0,0.75,1,703027497,1000,0.0653,0.4012,[]
ext0_env0.0_03,0,0.0,3,2533206826,1000,0.5383,0.8834,[]
ext200_env0.75_01,200,0.75,1,122419013,1000,0.093,0.8779,"[200, 400, 600, 800]"
ext200_env0.0_02,200,0.0,2,3321409917,1000,0.2813,0.2518,"[200, 400, 600, 800]"
ext200_env0.75_00,200,0.75,0,2077479432,1000,0.036,0.7328,"[200, 400, 600, 800]"
ext200_env0.0_03,200,0.0,3,2910090141,1000,0.2254,0.4221,"[200, 400, 600, 800]"
ext0_env0.75_02,0,0.75,2,972949445,1000,0.1003,0.4901,[]
ext0_env0.75_03,0,0.75,3,2725389715,1000,0.0732,0.8721,[]
ext0_env0.0_04,0,0.0,4,2265070045,1000,0.4738,0.8001,[]
ext0_env0.0_05,0,0.0,5,189887074,1000,0.1472,0.2165,[]
ext200_env0.0_04,200,0.0,4,4086655184,1000,0.1133,0.5458,"[200, 400, 600, 800]"
ext200_env0.75_02,200,0.75,2,512199684,1000,0.085,0.497,"[200, 400, 600, 800]"
ext0_env0.75_04,0,0.75,4,3597085897,1000,0.0345,0.7238,[]
ext0_env0.75_05,0,0.75,5,2360994856,1000,0.0847,0.7328,[]
ext200_env0.75_03,200,0.75,3,3487016770,1000,0.097,0.2019,"[200, 400, 600, 800]"
ext200_env0.0_05,200,0.0,5,939672678,1000,0.1749,0.859,"[200, 400, 600, 800]"
ext0_env0.0_06,0,0.0,6,1512562790,1000,0.1677,0.6264,[]
ext200_env0.0_06,200,0.0,6,2601041208,1000,0.235,0.1623,"[200, 400, 600, 800]"
ext200_env0.75_04,200,0.75,4,3548194630,1000,0.2275,0.7157,"[200, 400, 600, 800]"
ext0_env0.0_07,0,0.0,7,1282584118,1000,0.4328,0.6106,[]
ext200_env0.0_07,200,0.0,7,3496521315,1000,0.1743,0.4563,"[200, 400, 600, 800]"
ext0_env0.0_08,0,0.0,8,4148163260,1000,0.1554,0.405,[]
ext0_env0.75_06,0,0.75,6,3496485525,1000,0.2263,0.7821,[]
ext0_env0.75_07,0,0.75,7,2898180048,1000,0.0552,0.5796,[]
ext200_env0.75_05,200,0.75,5,2250404402,1000,0.0891,0.8635,"[200, 400, 600, 800]"
ext200_env0.75_06,200,0.75,6,3729157370,1000,0.0739,0.5122,"[200, 400, 600, 800]"
ext0_env0.0_09,0,0.0,9,1596535279,1000,0.1423,0.117,[]
ext200_env0.0_08,200,0.0,8,349224295,1000,0.1727,0.1945,"[200, 400, 600, 800]"
ext0_env0.75_08,0,0.75,8,2229072238,1000,0.0629,0.8371,[]
ext200_env0.75_07,200,0.75,7,2310762943,1000,0.0802,0.8806,"[200, 400, 600, 800]"
ext200_env0.0_09,200,0.0,9,1321313800,1000,0.4954,0.5468,"[200, 400, 600, 800]"
ext0_env0.0_10,0,0.0,10,3218070916,1000,0.0692,0.8097,[]
ext0_env0.75_09,0,0.75,9,4164065765,1000,0.2605,0.2098,[]
ext200_env0.0_10,200,0.0,10,2664569108,1000,0.2163,0.2931,"[200, 400, 600, 800]"
ext0_env0.0_11,0,0.0,11,3094670253,1000,0.1725,0.8682,[]
ext0_env0.75_10,0,0.75,10,1005436734,1000,0.054,0.3045,[]
ext200_env0.75_08,200,0.75,8,1915061628,1000,0.0443,0.6531,"[200, 400, 600, 800]"
ext200_env0.75_09,200,0.75,9,3357701577,1000,0.0457,0.7932,"[200, 400, 600, 800]"
ext0_env0.0_12,0,0.0,12,3937450706,1000,0.0643,0.1425,[]
ext0_env0.75_11,0,0.75,11,368541917,1000,0.0551,0.2955,[]
ext200_env0.0_11,200,0.0,11,1224782091,1000,0.5309,0.8329,"[200, 400, 600, 800]"
ext0_env0.0_13,0,0.0,13,1799900581,1000,0.0289,0.615,[]
ext0_env0.75_12,0,0.75,12,3231788672,1000,0.0625,0.6276,[]
ext200_env0.0_12,200,0.0,12,2304758612,1000,0.4833,0.5192,"[200, 400, 600, 800]"
ext200_env0.75_10,200,0.75,10,3020170697,1000,0.0798,0.7397,"[200, 400, 600, 800]"
ext200_env0.75_11,200,0.75,11,3258230236,1000,0.0928,0.4222,"[200, 400, 600, 800]"
ext0_env0.0_14,0,0.0,14,3324480463,1000,0.0628,0.193,[]
ext200_env0.0_13,200,0.0,13,521502351,1000,0.2505,0.3262,"[200, 400, 600, 800]"
ext200_env0.75_12,200,0.75,12,2715537810,1000,0.0497,0.5347,"[200, 400, 600, 800]"
ext0_env0.75_13,0,0.75,13,1168557320,1000,0.0336,0.3975,[]
ext200_env0.0_14,200,0.0,14,4001310160,1000,0.3926,0.9025,"[200, 400, 600, 800]"
ext0_env0.0_15,0,0.0,15,2259428053,1000,0.0452,0.6408,[]
ext0_env0.75_14,0,0.75,14,1844781883,1000,0.1614,0.5467,[]
ext0_env0.0_16,0,0.0,16,3433165061,1000,0.4671,0.2724,[]
ext200_env0.0_15,200,0.0,15,126939877,1000,0.4119,0.4697,"[200, 400, 600, 800]"
ext200_env0.75_13,200,0.75,13,2236668707,1000,0.0494,0.6739,"[200, 400, 600, 800]"
ext200_env0.75_14,200,0.75,14,3899331115,1000,0.0378,0.6112,"[200, 400, 600, 800]"
ext0_env0.75_15,0,0.75,15,4078751639,1000,0.0662,0.8843,[]
ext0_env0.75_16,0,0.75,16,1284776577,1000,0.08,0.4634,[]
ext0_env0.0_17,0,0.0,17,238832653,1000,0.2286,0.6727,[]
ext200_env0.75_15,200,0.75,15,1044864710,1000,0.1253,0.3311,"[200, 400, 600, 800]"
ext0_env0.0_18,0,0.0,18,2953944286,1000,0.3821,0.2394,[]
ext200_env0.0_16,200,0.0,16,3393453678,1000,0.3316,0.5668,"[200, 400, 600, 800]"
ext200_env0.0_17,200,0.0,17,3035908951,1000,0.12,0.7091,"[200, 400, 600, 800]"
ext0_env0.75_17,0,0.75,17,209983217,1000,0.0639,0.4685,[]
ext0_env0.0_19,0,0.0,19,2903726585,1000,0.1148,0.5986,[]
ext0_env0.75_18,0,0.75,18,2221413712,1000,0.1179,0.6826,[]
ext200_env0.75_17,200,0.75,17,1082224133,1000,0.1753,0.9105,"[200, 400, 600, 800]"
ext200_env0.75_16,200,0.75,16,3541565628,1000,0.0654,0.851,"[200, 400, 600, 800]"
ext200_env0.0_18,200,0.0,18,2899035946,1000,0.2589,0.2184,"[200, 400, 600, 800]"
ext200_env0.0_19,200,0.0,19,3474387163,1000,0.3991,0.4114,"[200, 400, 600, 800]"
ext0_env0.75_19,0,0.75,19,1508830463,1000,0.0441,0.5627,[]
ext200_env0.75_18,200,0.75,18,119436035,1000,0.068,0.5274,"[200, 400, 600, 800]"
ext200_env0.75_19,200,0.75,19,1563693610,1000,0.1429,0.1612,"[200, 400, 600, 800]"
