run_id,ext_period,env_mut,rep,seed,generations_run,final_mean_mut,final_mean_ecm,extinctions
ext0_env0.0_01,0,0.0,1,1725156786,1000,0.4892,0.7923,[]
ext0_env0.0_00,0,0.0,0,677064715,1000,0.1625,0.6585,[]
ext200_env0.0_00,200,0.0,0,4157384086,1000,0.2329,0.7475,"[200, 400, 600, 800]"
ext200_env0.0_01,200,0.0,1,2064199254,1000,0.1854,0.8674,"[200, 400, 600, 800]"
ext0_env0.0_02,0,0.0,2,3831093282,1000,0.1216,0.1222,[]
ext0_env0.75_00,0,0.75,0,2983969443,1000,0.1103,0.5121,[]
ext0_env0.75_01,0,0.75,1,703027497,1000,0.126,0.7628,[]
ext0_env0.0_03,0,0.0,3,2533206826,1000,0.0894,0.7008,[]
ext200_env0.0_02,200,0.0,2,3321409917,1000,0.4908,0.8507,"[200, 400, 600, 800]"
ext0_env0.75_02,0,0.75,2,972949445,1000,0.0806,0.7994,[]
ext200_env0.75_00,200,0.75,0,2077479432,1000,0.1686,0.8484,"[200, 400, 600, 800]"
ext200_env0.75_01,200,0.75,1,122419013,1000,0.084,0.2607,"[200, 400, 600, 800]"
ext0_env0.0_04,0,0.0,4,2265070045,1000,0.3127,0.364,[]
ext200_env0.0_03,200,0.0,3,2910090141,1000,0.1882,0.8812,"[200, 400, 600, 800]"
ext0_env0.75_03,0,0.75,3,2725389715,1000,0.3271,0.8308,[]
ext0_env0.0_05,0,0.0,5,189887074,1000,0.1621,0.7935,[]
ext200_env0.0_04,200,0.0,4,4086655184,1000,0.1289,0.1502,"[200, 400, 600, 800]"
ext200_env0.75_02,200,0.75,2,512199684,1000,0.1446,0.4413,"[200, 400, 600, 800]"
ext0_env0.75_04,0,0.75,4,3597085897,1000,0.1156,0.2996,[]
ext0_env0.75_05,0,0.75,5,2360994856,1000,0.2886,0.4353,[]
ext200_env0.75_03,200,0.75,3,3487016770,1000,0.0329,0.6919,"[200, 400, 600, 800]"
ext200_env0.0_05,200,0.0,5,939672678,1000,0.2706,0.2763,"[200, 400, 600, 800]"
ext0_env0.0_06,0,0.0,6,1512562790,1000,0.1562,0.5771,[]
ext0_env0.0_07,0,0.0,7,1282584118,1000,0.3451,0.3634,[]
ext200_env0.0_06,200,0.0,6,2601041208,1000,0.326,0.7218,"[200, 400, 600, 800]"
ext200_env0.75_04,200,0.75,4,3548194630,1000,0.0346,0.8972,"[200, 400, 600, 800]"
ext0_env0.75_06,0,0.75,6,3496485525,1000,0.2077,0.132,[]
ext200_env0.0_07,200,0.0,7,3496521315,1000,0.305,0.6724,"[200, 400, 600, 800]"
ext0_env0.75_07,0,0.75,7,2898180048,1000,0.0342,0.5252,[]
ext0_env0.0_08,0,0.0,8,4148163260,1000,0.1258,0.4137,[]
ext200_env0.75_05,200,0.75,5,2250404402,1000,0.0536,0.5767,"[200, 400, 600, 800]"
ext200_env0.75_06,200,0.75,6,3729157370,1000,0.1761,0.6115,"[200, 400, 600, 800]"
ext200_env0.0_08,200,0.0,8,349224295,1000,0.3129,0.7681,"[200, 400, 600, 800]"
ext0_env0.0_09,0,0.0,9,1596535279,1000,0.0798,0.3966,[]
ext200_env0.75_07,200,0.75,7,2310762943,1000,0.0664,0.8209,"[200, 400, 600, 800]"
ext0_env0.75_08,0,0.75,8,2229072238,1000,0.2068,0.5136,[]
ext200_env0.0_09,200,0.0,9,1321313800,1000,0.2515,0.128,"[200, 400, 600, 800]"
ext0_env0.75_09,0,0.75,9,4164065765,1000,0.037,0.2448,[]
ext0_env0.0_10,0,0.0,10,3218070916,1000,0.1336,0.8171,[]
ext0_env0.0_11,0,0.0,11,3094670253,1000,0.088,0.5799,[]
ext200_env0.0_10,200,0.0,10,2664569108,1000,0.1577,0.6671,"[200, 400, 600, 800]"
ext0_env0.75_10,0,0.75,10,1005436734,1000,0.0615,0.639,[]
ext200_env0.0_11,200,0.0,11,1224782091,1000,0.1382,0.8129,"[200, 400, 600, 800]"
ext200_env0.75_09,200,0.75,9,3357701577,1000,0.0997,0.59,"[200, 400, 600, 800]"
ext200_env0.75_08,200,0.75,8,1915061628,1000,0.1978,0.7915,"[200, 400, 600, 800]"
ext200_env0.75_10,200,0.75,10,3020170697,1000,0.0541,0.234,"[200, 400, 600, 800]"
ext0_env0.0_12,0,0.0,12,3937450706,1000,0.5209,0.3468,[]
ext0_env0.75_11,0,0.75,11,368541917,1000,0.0492,0.8708,[]
ext0_env0.0_13,0,0.0,13,1799900581,1000,0.0373,0.4504,[]
ext200_env0.0_12,200,0.0,12,2304758612,1000,0.1834,0.7234,"[200, 400, 600, 800]"
ext0_env0.75_12,0,0.75,12,3231788672,1000,0.0626,0.2519,[]
ext0_env0.0_14,0,0.0,14,3324480463,1000,0.097,0.132,[]
ext200_env0.0_13,200,0.0,13,521502351,1000,0.2581,0.4081,"[200, 400, 600, 800]"
ext0_env0.75_13,0,0.75,13,1168557320,1000,0.0906,0.5627,[]
ext200_env0.75_11,200,0.75,11,3258230236,1000,0.0385,0.632,"[200, 400, 600, 800]"
ext200_env0.0_14,200,0.0,14,4001310160,1000,0.3021,0.8505,"[200, 400, 600, 800]"
ext0_env0.0_15,0,0.0,15,2259428053,1000,0.0369,0.2669,[]
ext200_env0.75_12,200,0.75,12,2715537810,1000,0.1113,0.8825,"[200, 400, 600, 800]"
ext0_env0.75_14,0,0.75,14,1844781883,1000,0.0483,0.6414,[]
ext200_env0.75_13,200,0.75,13,2236668707,1000,0.1146,0.2084,"[200, 400, 600, 800]"
ext200_env0.0_15,200,0.0,15,126939877,1000,0.1352,0.3088,"[200, 400, 600, 800]"
ext0_env0.0_16,0,0.0,16,3433165061,1000,0.3006,0.5665,[]
ext200_env0.75_14,200,0.75,14,3899331115,1000,0.1549,0.1643,"[200, 400, 600, 800]"
ext0_env0.0_17,0,0.0,17,238832653,1000,0.5281,0.8573,[]
ext0_env0.75_16,0,0.75,16,1284776577,1000,0.0789,0.2228,[]
ext0_env0.75_15,0,0.75,15,4078751639,1000,0.2181,0.5002,[]
ext200_env0.0_16,200,0.0,16,3393453678,1000,0.2672,0.1807,"[200, 400, 600, 800]"
ext0_env0.0_18,0,0.0,18,2953944286,1000,0.2488,0.092,[]
ext200_env0.75_15,200,0.75,15,1044864710,1000,0.1545,0.7281,"[200, 400, 600, 800]"
ext200_env0.0_17,200,0.0,17,3035908951,1000,0.314,0.6283,"[200, 400, 600, 800]"
ext0_env0.75_17,0,0.75,17,209983217,1000,0.1699,0.6579,[]
ext0_env0.75_18,0,0.75,18,2221413712,1000,0.0964,0.6609,[]
ext200_env0.75_16,200,0.75,16,3541565628,1000,0.1301,0.1869,"[200, 400, 600, 800]"
ext0_env0.0_19,0,0.0,19,2903726585,1000,0.2212,0.4273,[]
ext200_env0.0_18,200,0.0,18,2899035946,1000,0.5265,0.2039,"[200, 400, 600, 800]"
ext200_env0.75_17,200,0.75,17,1082224133,1000,0.0508,0.644,"[200, 400, 600, 800]"
ext200_env0.0_19,200,0.0,19,3474387163,1000,0.1828,0.5849,"[200, 400, 600, 800]"
ext0_env0.75_19,0,0.75,19,1508830463,1000,0.069,0.7215,[]
ext200_env0.75_18,200,0.75,18,119436035,1000,0.0525,0.9102,"[200, 400, 600, 800]"
ext200_env0.75_19,200,0.75,19,1563693610,1000,0.1005,0.8832,"[200, 400, 600, 800]"
