run_id,topology,use_ecm,scalar,rep,seed,generations_run,final_mean_fitness,final_frac_high,final_peaks_colonized
ring_lattice_ecm0_s0.5_00,ring_lattice,0,0.5,0,22531304,320,1.0,1.0,1
ring_lattice_ecm0_s1.0_00,ring_lattice,0,1.0,0,2616290311,500,0.84175,0.0,0
complete_ecm0_s0.5_00,complete,0,0.5,0,1153645037,70,1.0,1.0,1
complete_ecm0_s1.0_00,complete,0,1.0,0,596359311,68,1.0,1.0,1
small_world_ecm1_s0.5_00,small_world,1,0.5,0,2478948373,248,1.0,1.0,1
small_world_ecm0_s0.5_00,small_world,0,0.5,0,2650070655,404,1.0,1.0,1
ring_lattice_ecm1_s0.5_00,ring_lattice,1,0.5,0,1150107741,500,0.975,1.0,0
small_world_ecm0_s1.0_00,small_world,0,1.0,0,1984250621,500,0.925,1.0,0
random_ecm0_s0.5_00,random,0,0.5,0,3917370257,379,1.0,1.0,1
ring_lattice_ecm1_s1.0_00,ring_lattice,1,1.0,0,1668149856,282,1.0,1.0,1
random_ecm0_s1.0_00,random,0,1.0,0,3405311224,500,0.95833,1.0,0
random_ecm1_s0.5_00,random,1,0.5,0,709156782,500,0.91667,1.0,0
complete_ecm1_s0.5_00,complete,1,0.5,0,301282646,69,1.0,1.0,1
small_world_ecm1_s1.0_00,small_world,1,1.0,0,1589604345,500,0.9,0.0,0
complete_ecm0_s0.5_01,complete,0,0.5,1,3269372633,90,1.0,1.0,1
complete_ecm0_s1.0_01,complete,0,1.0,1,3207477188,82,1.0,1.0,1
ring_lattice_ecm0_s0.5_01,ring_lattice,0,0.5,1,604706944,273,1.0,1.0,1
ring_lattice_ecm1_s0.5_01,ring_lattice,1,0.5,1,2404693554,500,0.94167,1.0,0
random_ecm1_s1.0_00,random,1,1.0,0,3407905873,500,0.95833,1.0,0
ring_lattice_ecm0_s1.0_01,ring_lattice,0,1.0,1,1427369572,500,0.9,0.0,0
small_world_ecm0_s0.5_01,small_world,0,0.5,1,1556725833,500,0.94167,1.0,0
small_world_ecm0_s1.0_01,small_world,0,1.0,1,1203918895,346,1.0,1.0,1
small_world_ecm1_s0.5_01,small_world,1,0.5,1,1949845267,288,1.0,1.0,1
complete_ecm1_s0.5_01,complete,1,0.5,1,1547754086,81,1.0,1.0,1
random_ecm0_s0.5_01,random,0,0.5,1,957272756,500,0.92695,0.99,0
ring_lattice_ecm1_s1.0_01,ring_lattice,1,1.0,1,136535528,464,1.0,1.0,1
random_ecm0_s1.0_01,random,0,1.0,1,3983326889,500,0.91667,1.0,0
random_ecm1_s0.5_01,random,1,0.5,1,852544144,500,0.91126,0.99,0
random_ecm1_s1.0_01,random,1,1.0,1,603855276,255,1.0,1.0,1
small_world_ecm1_s1.0_01,small_world,1,1.0,1,416411261,500,0.91667,1.0,0
ring_lattice_ecm1_s0.5_02,ring_lattice,1,0.5,2,3974721997,322,1.0,1.0,1
ring_lattice_ecm0_s0.5_02,ring_lattice,0,0.5,2,3027637230,500,0.94167,1.0,0
complete_ecm1_s0.5_02,complete,1,0.5,2,2708069030,70,1.0,1.0,1
ring_lattice_ecm0_s1.0_02,ring_lattice,0,1.0,2,1454878450,500,0.91667,1.0,0
ring_lattice_ecm1_s1.0_02,ring_lattice,1,1.0,2,2635248029,351,1.0,1.0,1
small_world_ecm0_s0.5_02,small_world,0,0.5,2,1025439096,500,0.98333,1.0,0
small_world_ecm1_s0.5_02,small_world,1,0.5,2,3345261964,351,1.0,1.0,1
small_world_ecm0_s1.0_02,small_world,0,1.0,2,3501484199,500,0.95,1.0,0
random_ecm1_s0.5_02,random,1,0.5,2,1789787478,500,0.975,1.0,0
small_world_ecm1_s1.0_02,small_world,1,1.0,2,1180062849,500,0.975,1.0,0
random_ecm0_s0.5_02,random,0,0.5,2,2555763113,500,0.84517,0.0,0
random_ecm0_s1.0_02,random,0,1.0,2,2438939032,495,1.0,1.0,1
random_ecm1_s1.0_02,random,1,1.0,2,1757063465,500,0.91667,1.0,0
complete_ecm0_s0.5_02,complete,0,0.5,2,1266198458,500,0.89167,0.0,0
complete_ecm0_s0.5_03,complete,0,0.5,3,2908211123,73,1.0,1.0,1
complete_ecm0_s1.0_02,complete,0,1.0,2,2706663504,500,0.90833,1.0,0
