run_id,topology,select_prob,env_scalar,use_ecm,rep,seed,generations_run,final_mean_fitness,late_mean_fitness,late_frac_high,final_peaks_colonized
complete_sp1.0_env0.0_ecm0_00,complete,1.0,0.0,0,0,2620668722,78,1.0,0.6982,0.1019,1
complete_sp0.0_env0.0_ecm0_00,complete,0.0,0.0,0,0,1681616121,300,0.09703,0.10454,0.0,0
complete_sp0.5_env0.0_ecm0_00,complete,0.5,0.0,0,0,2735953540,300,0.94352,0.9222,0.7032,1
complete_sp1.0_env0.5_ecm0_00,complete,1.0,0.5,0,0,344264718,300,0.95015,0.95371,0.8974,1
small_world_sp1.0_env0.0_ecm0_00,small_world,1.0,0.0,0,0,3039750810,300,0.9,0.88558,0.0,0
small_world_sp1.0_env0.0_ecm1_00,small_world,1.0,0.0,1,0,3009605746,277,1.0,0.88856,0.4025,1
small_world_sp0.5_env0.0_ecm0_00,small_world,0.5,0.0,0,0,3871844644,300,0.59706,0.58613,0.0,0
small_world_sp0.5_env0.0_ecm1_00,small_world,0.5,0.0,1,0,1028621287,300,0.70774,0.65865,0.0,0
complete_sp1.0_env1.0_ecm0_00,complete,1.0,1.0,0,0,411388742,300,0.88577,0.87661,0.4085,0
small_world_sp0.0_env0.0_ecm0_00,small_world,0.0,0.0,0,0,1796618567,300,0.10125,0.10639,0.0,0
small_world_sp1.0_env0.5_ecm0_00,small_world,1.0,0.5,0,0,3308401410,300,0.62784,0.60235,0.0,0
small_world_sp1.0_env0.5_ecm1_00,small_world,1.0,0.5,1,0,82494601,300,0.68467,0.65276,0.0,0
small_world_sp0.0_env0.0_ecm1_00,small_world,0.0,0.0,1,0,3854626544,300,0.11286,0.11049,0.0,0
small_world_sp1.0_env1.0_ecm0_00,small_world,1.0,1.0,0,0,2095114538,300,0.48867,0.48698,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_00,ring_lattice,1.0,0.0,0,0,2263356908,300,0.85833,0.84534,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_00,ring_lattice,1.0,0.0,1,0,268154627,300,0.84225,0.80748,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_00,ring_lattice,0.5,0.0,0,0,284237407,300,0.59782,0.57898,0.0,0
small_world_sp1.0_env1.0_ecm1_00,small_world,1.0,1.0,1,0,954015560,300,0.55406,0.55097,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_00,ring_lattice,0.0,0.0,0,0,2416423301,300,0.09792,0.09505,0.0,0
complete_sp1.0_env0.0_ecm1_00,complete,1.0,0.0,1,0,9143491,300,0.975,0.975,1.0,0
ring_lattice_sp1.0_env0.5_ecm0_00,ring_lattice,1.0,0.5,0,0,3041404472,300,0.65976,0.62473,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_00,ring_lattice,0.5,0.0,1,0,635451866,300,0.64709,0.60921,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_00,ring_lattice,1.0,1.0,0,0,1021354989,300,0.46664,0.46433,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_00,ring_lattice,1.0,0.5,1,0,3532093633,300,0.68863,0.67112,0.0,0
ring_lattice_sp0.0_env0.0_ecm1_00,ring_lattice,0.0,0.0,1,0,3115735891,300,0.10143,0.10983,0.0,0
complete_sp1.0_env0.0_ecm0_01,complete,1.0,0.0,0,1,2165981913,87,1.0,0.70673,0.2787,1
ring_lattice_sp1.0_env1.0_ecm1_00,ring_lattice,1.0,1.0,1,0,2423297706,300,0.46871,0.45628,0.0,0
complete_sp1.0_env0.5_ecm1_00,complete,1.0,0.5,1,0,2650587732,300,0.95455,0.95741,0.8972,1
complete_sp1.0_env0.0_ecm1_01,complete,1.0,0.0,1,1,2731615052,66,1.0,0.69866,0.1705,1
complete_sp0.5_env0.0_ecm0_01,complete,0.5,0.0,0,1,4290031338,300,0.93143,0.92189,0.7044,1
complete_sp0.0_env0.0_ecm0_01,complete,0.0,0.0,0,1,4215898215,300,0.10242,0.10542,0.0,0
complete_sp0.5_env0.0_ecm1_00,complete,0.5,0.0,1,0,2720497747,300,0.9205,0.93003,0.7174,1
complete_sp1.0_env0.5_ecm0_01,complete,1.0,0.5,0,1,2381042316,300,0.92544,0.92936,0.7379,0
complete_sp1.0_env1.0_ecm1_00,complete,1.0,1.0,1,0,1210460973,300,0.91095,0.84921,0.2842,1
small_world_sp1.0_env0.0_ecm0_01,small_world,1.0,0.0,0,1,2853225473,300,0.88667,0.82201,0.0,0
small_world_sp1.0_env0.0_ecm1_01,small_world,1.0,0.0,1,1,2595329774,300,0.91687,0.86285,0.1795,0
small_world_sp0.5_env0.0_ecm0_01,small_world,0.5,0.0,0,1,3727765426,300,0.60657,0.58664,0.0,0
complete_sp1.0_env1.0_ecm0_01,complete,1.0,1.0,0,1,511857877,300,0.91582,0.90746,0.6439,1
small_world_sp0.0_env0.0_ecm0_01,small_world,0.0,0.0,0,1,3708998636,300,0.11535,0.10678,0.0,0
small_world_sp0.5_env0.0_ecm1_01,small_world,0.5,0.0,1,1,2248138474,300,0.74017,0.68574,0.0,0
small_world_sp1.0_env0.5_ecm0_01,small_world,1.0,0.5,0,1,3463300657,300,0.69976,0.67967,0.0,0
small_world_sp0.0_env0.0_ecm1_01,small_world,0.0,0.0,1,1,4236531153,300,0.10225,0.10285,0.0,0
small_world_sp1.0_env1.0_ecm0_01,small_world,1.0,1.0,0,1,1461328819,300,0.4784,0.47252,0.0,0
small_world_sp1.0_env0.5_ecm1_01,small_world,1.0,0.5,1,1,3158487560,300,0.74201,0.72285,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_01,ring_lattice,1.0,0.0,0,1,1567744867,300,0.864,0.83519,0.0,0
small_world_sp1.0_env1.0_ecm1_01,small_world,1.0,1.0,1,1,1698036601,300,0.53663,0.52789,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_01,ring_lattice,1.0,0.0,1,1,257421758,300,0.89167,0.87218,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_01,ring_lattice,0.5,0.0,0,1,271795878,300,0.63051,0.603,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_01,ring_lattice,0.0,0.0,0,1,555027203,300,0.10438,0.10359,0.0,0
complete_sp1.0_env0.5_ecm1_01,complete,1.0,0.5,1,1,4124491528,300,0.9661,0.9585,0.9005,1
ring_lattice_sp0.5_env0.0_ecm1_01,ring_lattice,0.5,0.0,1,1,1670124278,300,0.71458,0.6713,0.0,0
ring_lattice_sp1.0_env0.5_ecm0_01,ring_lattice,1.0,0.5,0,1,3647020793,300,0.63829,0.62238,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_01,ring_lattice,1.0,1.0,0,1,2086128082,300,0.47508,0.46412,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_01,ring_lattice,1.0,0.5,1,1,947606365,300,0.66131,0.66605,0.0,0
ring_lattice_sp0.0_env0.0_ecm1_01,ring_lattice,0.0,0.0,1,1,2935743478,300,0.11021,0.11102,0.0,0
ring_lattice_sp1.0_env1.0_ecm1_01,ring_lattice,1.0,1.0,1,1,534207971,300,0.51526,0.52756,0.0,0
complete_sp0.5_env0.0_ecm1_01,complete,0.5,0.0,1,1,3501125130,300,0.9106,0.92698,0.7092,1
complete_sp1.0_env0.0_ecm1_02,complete,1.0,0.0,1,2,1114569324,60,1.0,0.69693,0.2575,1
complete_sp1.0_env0.0_ecm0_02,complete,1.0,0.0,0,2,2895793076,300,0.975,0.975,1.0,0
complete_sp0.5_env0.0_ecm0_02,complete,0.5,0.0,0,2,2953926489,300,0.93607,0.92085,0.6969,1
complete_sp0.0_env0.0_ecm0_02,complete,0.0,0.0,0,2,2870293357,300,0.10466,0.10129,0.0,0
complete_sp1.0_env1.0_ecm1_01,complete,1.0,1.0,1,1,2635658792,300,0.91547,0.91043,0.6286,1
complete_sp1.0_env0.5_ecm0_02,complete,1.0,0.5,0,2,156111145,300,0.92265,0.92919,0.7346,0
complete_sp1.0_env1.0_ecm0_02,complete,1.0,1.0,0,2,2903446676,300,0.85227,0.85267,0.178,0
small_world_sp1.0_env0.0_ecm0_02,small_world,1.0,0.0,0,2,4123532377,297,1.0,0.91253,0.5235,1
small_world_sp1.0_env0.0_ecm1_02,small_world,1.0,0.0,1,2,4061219268,300,0.925,0.89528,0.4736,0
small_world_sp0.5_env0.0_ecm0_02,small_world,0.5,0.0,0,2,3209627168,300,0.62503,0.59407,0.0,0
small_world_sp0.5_env0.0_ecm1_02,small_world,0.5,0.0,1,2,1936465730,300,0.61963,0.57863,0.0,0
small_world_sp0.0_env0.0_ecm0_02,small_world,0.0,0.0,0,2,2726729827,300,0.10319,0.10483,0.0,0
small_world_sp1.0_env0.5_ecm1_02,small_world,1.0,0.5,1,2,4273858110,300,0.75725,0.71833,0.0,0
small_world_sp1.0_env0.5_ecm0_02,small_world,1.0,0.5,0,2,2692708229,300,0.70777,0.67858,0.0,0
small_world_sp0.0_env0.0_ecm1_02,small_world,0.0,0.0,1,2,1665673125,300,0.10798,0.10895,0.0,0
small_world_sp1.0_env1.0_ecm0_02,small_world,1.0,1.0,0,2,1746853858,300,0.47209,0.46511,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_02,ring_lattice,1.0,0.0,1,2,2947646353,300,0.86858,0.84919,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_02,ring_lattice,1.0,0.0,0,2,3420129712,300,0.85833,0.82237,0.0,0
small_world_sp1.0_env1.0_ecm1_02,small_world,1.0,1.0,1,2,2450797117,300,0.51973,0.51819,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_02,ring_lattice,0.5,0.0,0,2,3897604567,300,0.59949,0.57983,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_02,ring_lattice,0.5,0.0,1,2,606710701,300,0.6231,0.59538,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_02,ring_lattice,0.0,0.0,0,2,1586231333,300,0.0984,0.10088,0.0,0
complete_sp0.0_env0.0_ecm1_00,complete,0.0,0.0,1,0,3961830186,300,0.09719,0.09896,0.0,0
complete_sp1.0_env0.5_ecm1_02,complete,1.0,0.5,1,2,3992044429,300,0.96163,0.95749,0.8978,1
ring_lattice_sp1.0_env0.5_ecm0_02,ring_lattice,1.0,0.5,0,2,2373002558,300,0.6064,0.58936,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_02,ring_lattice,1.0,1.0,0,2,1363408039,300,0.46564,0.46349,0.0,0
complete_sp0.0_env0.0_ecm1_01,complete,0.0,0.0,1,1,712767889,300,0.11779,0.11504,0.0,0
ring_lattice_sp0.0_env0.0_ecm1_02,ring_lattice,0.0,0.0,1,2,1256631556,300,0.10177,0.10649,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_02,ring_lattice,1.0,0.5,1,2,3490976077,300,0.76485,0.74148,0.0,0
complete_sp0.5_env0.0_ecm1_02,complete,0.5,0.0,1,2,1358124528,300,0.89219,0.88668,0.6333,0
ring_lattice_sp1.0_env1.0_ecm1_02,ring_lattice,1.0,1.0,1,2,1855729392,300,0.56638,0.56409,0.0,0
complete_sp1.0_env0.0_ecm0_03,complete,1.0,0.0,0,3,2464469152,300,0.975,0.975,1.0,0
complete_sp0.5_env0.0_ecm0_03,complete,0.5,0.0,0,3,602223289,300,0.91338,0.89966,0.6437,0
complete_sp0.0_env0.0_ecm0_03,complete,0.0,0.0,0,3,1206439105,300,0.0934,0.10536,0.0,0
complete_sp1.0_env1.0_ecm1_02,complete,1.0,1.0,1,2,4015661735,300,0.92085,0.9175,0.6793,1
complete_sp1.0_env0.0_ecm1_03,complete,1.0,0.0,1,3,3454884825,300,0.8,0.8,0.0,0
complete_sp1.0_env0.5_ecm0_03,complete,1.0,0.5,0,3,2039222377,300,0.8423,0.84159,0.0,0
small_world_sp1.0_env0.0_ecm0_03,small_world,1.0,0.0,0,3,3627859608,300,0.93608,0.87676,0.172,0
small_world_sp1.0_env0.0_ecm1_03,small_world,1.0,0.0,1,3,1561106800,300,0.90833,0.83649,0.1274,0
small_world_sp0.5_env0.0_ecm0_03,small_world,0.5,0.0,0,3,983453499,300,0.65751,0.62646,0.0,0
complete_sp1.0_env1.0_ecm0_03,complete,1.0,1.0,0,3,1055868941,300,0.81443,0.81193,0.0,0
small_world_sp0.0_env0.0_ecm0_03,small_world,0.0,0.0,0,3,3481873768,300,0.10092,0.0948,0.0,0
small_world_sp0.5_env0.0_ecm1_03,small_world,0.5,0.0,1,3,2146218542,300,0.63167,0.61295,0.0,0
small_world_sp1.0_env0.5_ecm0_03,small_world,1.0,0.5,0,3,435685067,300,0.61906,0.59159,0.0,0
small_world_sp1.0_env0.5_ecm1_03,small_world,1.0,0.5,1,3,1507591503,300,0.70126,0.68611,0.0,0
small_world_sp1.0_env1.0_ecm0_03,small_world,1.0,1.0,0,3,792728941,300,0.47913,0.46578,0.0,0
small_world_sp1.0_env1.0_ecm1_03,small_world,1.0,1.0,1,3,429121208,300,0.56237,0.52854,0.0,0
small_world_sp0.0_env0.0_ecm1_03,small_world,0.0,0.0,1,3,2134970566,300,0.10531,0.10319,0.0,0
ring_lattice_sp1.0_env0.0_ecm1_03,ring_lattice,1.0,0.0,1,3,3995456399,300,0.95054,0.86918,0.3779,1
ring_lattice_sp1.0_env0.0_ecm0_03,ring_lattice,1.0,0.0,0,3,3460185506,300,0.83592,0.79885,0.0,0
ring_lattice_sp0.5_env0.0_ecm0_03,ring_lattice,0.5,0.0,0,3,2140098512,300,0.55589,0.51894,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_03,ring_lattice,0.0,0.0,0,3,3737181544,300,0.10829,0.10547,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_03,ring_lattice,0.5,0.0,1,3,2595139116,300,0.64196,0.60754,0.0,0
ring_lattice_sp1.0_env0.5_ecm0_03,ring_lattice,1.0,0.5,0,3,4178097613,300,0.64562,0.61959,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_03,ring_lattice,1.0,0.5,1,3,282602551,300,0.72445,0.66421,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_03,ring_lattice,1.0,1.0,0,3,3804004747,300,0.49215,0.47637,0.0,0
